neo4j39,Neo4j.Driver.Internal.ConnectionPool.Release,neo4j26,neo4j2,neo4j,34,5,1,34,34,34,92,35,58,48,34,5,5,5,16,6,8,6,5,1,1,1,11,2,3,2,1,1,0,0
neo4j40,Neo4j.Driver.Internal.ConnectionPool.ReleaseAsync,neo4j26,neo4j2,neo4j,34,5,1,34,34,34,92,34,58,47,34,5,5,5,16,5,8,6,5,1,1,1,11,1,3,2,1,1,0,0
neo4j41,Neo4j.Driver.Internal.ConnectionPool.Dispose,neo4j26,neo4j2,neo4j,15,3,1,15,15,15,106,23,59,46,15,3,3,3,22,5,10,8,3,1,1,1,14,2,4,3,1,1,0,0
neo4j42,Neo4j.Driver.Internal.ConnectionPool.Close,neo4j26,neo4j2,neo4j,20,4,1,35,52,47,83,20,44,33,128,5,7,5,17,4,7,5,10,2,2,2,12,1,3,2,5,1,0,0
neo4j43,Neo4j.Driver.Internal.ConnectionPool.CloseAsync,neo4j26,neo4j2,neo4j,23,4,1,23,23,23,86,23,47,33,23,4,4,4,16,4,7,5,4,1,1,1,11,1,3,2,1,1,0,0
neo4j44,Neo4j.Driver.Internal.ConnectionPool.Deactivate,neo4j26,neo4j2,neo4j,8,2,1,16,40,29,18,8,18,13,202,3,3,3,5,2,5,3,11,2,2,2,3,1,3,2,10,1,0,0
neo4j45,Neo4j.Driver.Internal.ConnectionPool.DeactivateAsync,neo4j26,neo4j2,neo4j,9,2,1,27,27,27,33,9,21,16,27,3,3,3,6,2,5,3,3,2,2,2,4,1,3,1,2,1,0,0
neo4j46,Neo4j.Driver.Internal.ConnectionPool.Activate,neo4j26,neo4j2,neo4j,5,1,1,13,36,20,5,5,5,5,66,2,2,2,1,1,1,1,5,2,2,2,1,1,1,1,5,1,0,0
neo4j47,Neo4j.Driver.Internal.ConnectionPool.TerminateIdleConnections,neo4j26,neo4j2,neo4j,9,2,1,25,61,43,10,10,10,10,307,5,9,5,3,3,3,3,22,3,3,3,2,2,2,2,15,1,0,0
neo4j48,Neo4j.Driver.Internal.ConnectionPool.TerminateIdleConnectionsAsync,neo4j26,neo4j2,neo4j,11,2,1,34,38,36,12,11,12,11,61,5,6,5,3,2,3,2,9,2,3,2,2,1,2,1,4,1,0,0
neo4j49,Neo4j.Driver.Internal.ConnectionPool.ThrowObjectDisposedException,neo4j26,neo4j2,neo4j,5,1,1,30,90,48,9,9,9,9,829,3,8,3,2,2,2,2,46,3,3,3,2,2,2,2,33,1,0,0
neo4j50,Neo4j.Driver.Internal.ConnectionPool.ThrowClientExceptionDueToZombified,neo4j26,neo4j2,neo4j,9,1,1,34,94,52,9,9,9,9,833,3,8,3,1,1,1,1,46,3,3,3,1,1,1,1,33,1,0,0
neo4j51,Neo4j.Driver.Internal.ConnectionPool.AtomicRead,neo4j26,neo4j2,neo4j,7,1,1,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
neo4j52,Neo4j.Driver.Internal.ConnectionPool.ToString,neo4j26,neo4j2,neo4j,6,1,1,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
neo4j75,Neo4j.Driver.Internal.IConnectionValidator.OnRelease,neo4j74,neo4j2,neo4j,1,1,1,35,35,35,1,1,1,1,35,6,6,6,1,1,1,1,6,2,2,2,1,1,1,1,2,1,0,0
neo4j76,Neo4j.Driver.Internal.IConnectionValidator.OnReleaseAsync,neo4j74,neo4j2,neo4j,1,1,1,35,35,35,1,1,1,1,35,6,6,6,1,1,1,1,6,2,2,2,1,1,1,1,2,1,0,0
neo4j77,Neo4j.Driver.Internal.IConnectionValidator.OnRequire,neo4j74,neo4j2,neo4j,1,1,1,26,86,44,1,1,1,1,825,3,8,3,1,1,1,1,46,3,3,3,1,1,1,1,33,1,0,0
neo4j79,Neo4j.Driver.Internal.ConnectionValidator.OnRelease,neo4j78,neo4j2,neo4j,22,2,1,22,22,22,33,23,31,25,22,2,2,2,7,3,5,3,2,1,1,1,5,2,3,2,1,1,0,0
neo4j80,Neo4j.Driver.Internal.ConnectionValidator.OnReleaseAsync,neo4j78,neo4j2,neo4j,22,2,1,22,22,22,33,22,31,24,22,2,2,2,7,2,5,3,2,1,1,1,5,1,3,2,1,1,0,0
neo4j81,Neo4j.Driver.Internal.ConnectionValidator.OnRequire,neo4j78,neo4j2,neo4j,14,2,1,14,14,14,52,15,28,23,14,2,2,2,12,3,5,4,2,1,1,1,6,2,3,2,1,1,0,0
neo4j82,Neo4j.Driver.Internal.ConnectionValidator.RestartIdleTimer,neo4j78,neo4j2,neo4j,8,2,1,30,30,30,9,9,9,9,52,4,4,4,3,3,3,3,6,2,2,2,2,2,2,2,3,1,0,0
neo4j83,Neo4j.Driver.Internal.ConnectionValidator.ResetIdleTimer,neo4j78,neo4j2,neo4j,8,2,1,22,22,22,9,9,9,9,22,4,4,4,3,3,3,3,4,2,2,2,2,2,2,2,2,1,0,0
neo4j84,Neo4j.Driver.Internal.ConnectionValidator.HasBeenAliveForTooLong,neo4j78,neo4j2,neo4j,14,3,1,28,28,28,14,14,14,14,28,5,5,5,3,3,3,3,5,2,2,2,1,1,1,1,2,1,0,0
neo4j85,Neo4j.Driver.Internal.ConnectionValidator.HasBeenIdleForTooLong,neo4j78,neo4j2,neo4j,14,3,1,28,28,28,14,14,14,14,28,5,5,5,3,3,3,3,5,2,2,2,1,1,1,1,2,1,0,0
neo4j89,Neo4j.Driver.Internal.BaseOutLogger.Log,neo4j88,neo4j2,neo4j,17,3,1,34,38,35,60,17,46,33,89,5,5,5,12,3,9,6,11,3,3,3,5,1,3,2,9,1,0,0
neo4j90,Neo4j.Driver.Internal.BaseOutLogger.ByteBufferToString,neo4j88,neo4j2,neo4j,9,1,1,43,47,44,14,14,14,14,98,6,6,6,3,3,3,3,12,4,4,4,2,2,2,2,10,1,0,0
neo4j91,Neo4j.Driver.Internal.BaseOutLogger.ObjectToString,neo4j88,neo4j2,neo4j,23,5,1,57,61,58,29,23,29,26,112,10,10,10,6,5,6,5,16,4,4,4,2,1,2,1,10,1,0,0
