neo4j9,neo4j8,17,17,17,17,3,3,3,3,2,2,2,2
neo4j10,neo4j11,44,44,44,44,8,8,8,8,2,2,2,2
neo4j10,neo4j12,49,49,49,49,9,9,9,9,3,3,3,3
neo4j10,neo4j1398,50,50,50,50,10,10,10,10,4,4,4,4
neo4j10,neo4j3712,44,44,44,44,8,8,8,8,2,2,2,2
neo4j10,neo4j3714,44,44,44,44,8,8,8,8,2,2,2,2
neo4j10,neo4j3715,44,44,44,44,8,8,8,8,2,2,2,2
neo4j11,neo4j12,27,27,27,27,4,4,4,4,2,2,2,2
neo4j11,neo4j1398,28,28,28,28,5,5,5,5,3,3,3,3
neo4j11,neo4j3712,22,22,22,22,3,3,3,3,1,1,1,1
neo4j11,neo4j3714,22,22,22,22,3,3,3,3,1,1,1,1
neo4j11,neo4j3715,22,22,22,22,3,3,3,3,1,1,1,1
neo4j12,neo4j1398,6,6,6,6,2,2,2,2,2,2,2,2
neo4j21,neo4j3721,10,10,10,10,1,1,1,1,1,1,1,1
neo4j22,neo4j3722,11,11,11,11,1,1,1,1,1,1,1,1
neo4j23,neo4j3725,5,5,5,5,1,1,1,1,1,1,1,1
neo4j27,neo4j29,36,36,36,36,4,4,4,4,2,2,2,2
neo4j27,neo4j30,44,44,44,44,4,4,4,4,2,2,2,2
neo4j27,neo4j32,53,53,53,53,6,6,6,6,3,3,3,3
neo4j27,neo4j33,49,49,49,49,5,5,5,5,3,3,3,3
neo4j27,neo4j139,37,37,37,37,5,5,5,5,3,3,3,3
neo4j27,neo4j256,26,26,26,26,3,3,3,3,2,2,2,2
neo4j27,neo4j267,45,45,45,45,5,5,5,5,3,3,3,3
neo4j27,neo4j940,37,37,37,37,5,5,5,5,3,3,3,3
neo4j27,neo4j941,26,26,26,26,3,3,3,3,2,2,2,2
neo4j27,neo4j942,26,26,26,26,3,3,3,3,2,2,2,2
neo4j27,neo4j943,45,45,45,45,5,5,5,5,3,3,3,3
neo4j27,neo4j944,45,45,45,45,5,5,5,5,3,3,3,3
neo4j27,neo4j3739,53,53,53,53,6,6,6,6,3,3,3,3
neo4j27,neo4j3740,49,49,49,49,5,5,5,5,3,3,3,3
neo4j28,neo4j29,36,36,36,36,4,4,4,4,2,2,2,2
neo4j28,neo4j31,44,44,44,44,4,4,4,4,2,2,2,2
neo4j28,neo4j32,53,53,53,53,6,6,6,6,3,3,3,3
neo4j28,neo4j33,49,49,49,49,5,5,5,5,3,3,3,3
neo4j28,neo4j139,37,37,37,37,5,5,5,5,3,3,3,3
neo4j28,neo4j257,26,26,26,26,3,3,3,3,2,2,2,2
neo4j28,neo4j268,45,45,45,45,5,5,5,5,3,3,3,3
